% Model:              StrainTuningCantilever_LARGER_fin.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 24 2024, 18:14
% Dimension:          3
% Nodes:              5834
% Expressions:        1
% Description:        Slice
% x                       y                        z                        Strain tensor, YY-component
-1.3877787807814457E-17   29.48317353801917        -2                       0
6.245004513516506E-17     29.67692740804739        -2.046596393708855       4.061946939994511E-13
-3.469446951953614E-17    29.734535116031157       -2                       0
0                         29.128981307061203       -2.489806393621822       4.940932849493497E-12
-2.7755575615628914E-17   28.795445616335677       -2                       -1.3473998850200447E-12
-5.551115123125783E-17    30.342366480154773       -2.2142226437190846      3.724673479767856E-12
1.3877787807814457E-17    30.062183866801785       -2.6305425261319475      7.242635711061119E-12
0                         29.687672570718398       -2.6305425261320305      5.1298227089937656E-12
-2.7755575615628914E-17   29.289357951807073       -2.530205788057441       4.570771798843477E-12
-1.3877787807814457E-17   30.007896204259747       -2.7112078929689782      7.2296569341892936E-12
5.551115123125783E-17     30.527797972494653       -2.5157088716376554      4.29050236984353E-12
5.551115123125783E-17     30.801788787873544       -2.9611804383086513      1.565041550900385E-12
1.3877787807814457E-17    30.169124879963974       -2.761973882318012       7.394467630528235E-12
-2.7755575615628914E-17   31.54049249529869        -3.29301563106637        -6.057116082304334E-12
1.3877787807814457E-17    33.58179647428786        -3.4646632681706357      -3.5681757498897216E-11
2.7755575615628914E-17    34.13412823026636        -4.005138587037707       -6.228615627507176E-11
0                         34.27403745178706        -4.1420444960245435      -6.811697207522108E-11
0                         34.80296737554119        -4.659620329972002       -8.862981494113934E-11
6.938893903907228E-18     31.883448473386583       -3.7100916106762574      -1.3302557016802078E-11
0                         32.64015364975232        -3.408016238198296       -2.068606534768058E-11
3.469446951953614E-18     32.416422305313525       -3.4973293965023915      -1.8782805934305183E-11
0                         33.18734088818698        -3.9368092719845964      -3.655324173839482E-11
-1.3877787807814457E-17   33.01754742399041        -4.1400445877512         -3.60830452622538E-11
3.469446951953614E-17     32.18410309268041        -4.000639447119264       -1.874428595845817E-11
2.7755575615628914E-17    32.07998901567552        -3.9000252610162733      -1.5762229776201407E-11
-2.7755575615628914E-17   32.7096798914822         -4.508548496184565       -3.479914894260242E-11
-1.3877787807814457E-17   32.045814761340104       -3.936685022106136       -1.5317791679071122E-11
-4.85722573273506E-17     32.01868791792851        -3.898827631463392       -1.468500520933961E-11
2.7755575615628914E-17    32.45197788083217        -4.503513814015732       -2.5140049562088767E-11
2.7755575615628914E-17    35                       -4.82618632013474        -9.493453394045774E-11
-2.7755575615628914E-17   34.571859168420374       -5.125857402578461       -7.932830161213916E-11
0                         35                       -5.838680418691295       -9.440581309138699E-11
5.551115123125783E-17     34.756698007014045       -5.934970468954048       -8.323850488068974E-11
2.7755575615628914E-17    34.43644139731938        -5.2206411444269145      -7.382995920187813E-11
5.551115123125783E-17     34.436441397317566       -6.061716348274574       -5.1093143369734676E-11
-7.284483346386983E-14    35                       -7                       -4.49849547819457E-11
2.7755575615628914E-17    34.08078634934309        -5.469576834135399       -5.906956197771139E-11
0                         34.32801614768293        -4.781348095910333       -7.597138632023176E-11
-1.3877787807814457E-17   34.01246434046951        -4.862222540012418       -6.55090532124492E-11
0                         33.706420190520156       -4.940660216276347       -6.202445287021513E-11
-1.3877787807814457E-17   33.671637957880186       -4.528712388139986       -5.434085838979803E-11
0                         33.63816338899546        -4.132252043259433       -4.9693237117123876E-11
-2.7755575615628914E-17   33.902218981976844       -4.380707153318428       -5.96784180964897E-11
0                         33.061541078929295       -4.661089075799563       -4.7058244166084294E-11
-1.3877787807814457E-17   33.28632873617963        -4.299757404217709       -4.4911917329812696E-11
0                         33.42823194499125        -4.820058690082993       -5.747833117299045E-11
-6.938893903907228E-18    28.3763205558572         -3.21809996108113        1.6072606008732408E-11
0                         28.42498126337444        -3.136049468443623       1.818716805280933E-11
0                         28.40997734956543        -3.267725034455159       1.7107112373801697E-11
3.469446951953614E-18     28.094576555441094       -2                       0
0                         28.15695507954671        -2.06646621947494        1.130616404031052E-12
-3.469446951953614E-18    27.76651403153773        -2                       0
-5.551115123125783E-17    28.296917703191845       -2.6249999999638742      1.0631494585702821E-11
-6.938893903907228E-18    27.27325942668771        -2.08366450173241        1.3678475376866967E-12
2.7755575615628914E-17    27.781302605498496       -2.62499999996217        9.245667759885276E-12
8.326672684688674E-17     27.194740320599497       -2                       1.0020960501387481E-13
-3.469446951953614E-18    28.140299352018133       -2                       0
-6.938893903907228E-18    28.283451825965045       -3.160055305884111       1.6720443499325236E-11
-5.551115123125783E-17    28.591633874842564       -2.6249999999655422      8.28115176923163E-12
0                         28.699036894535716       -2.2956426881002487      2.8521567415828997E-12
5.551115123125783E-17     28.724673922281774       -2.6261645586769533      6.602593193686665E-12
0                         28.74167420512252        -2.845338377898799       1.1302787013122754E-11
0                         28.978020488581343       -2.628382213857628       8.01981146431788E-12
6.938893903907228E-18     28.330416881801447       -3.2485133103101114      1.602927696634874E-11
2.7755575615628914E-17    26.95167217115609        -2.6249999999590656      1.0158570714985688E-11
-1.3877787807814457E-17   27.068823732921324       -2.0708748775347225      1.2484975256627786E-12
0                         27.166284805860727       -2.073167532448573       1.3219614766089877E-12
5.551115123125783E-17     26.600341904366125       -2.6249999999580895      1.06997107616381E-11
2.7755575615628914E-17    27.128744481657012       -2                       -1.355601640709371E-26
-6.938893903907228E-18    26.306838233238757       -2.0529500820451236      9.064809003635185E-13
6.938893903907228E-17     26.327430998768527       -1.9999999999999996      -1.0109628857520846E-26
1.3877787807814457E-17    26.800188626962168       -3.0145089312439235      1.62852341849783E-11
2.7755575615628914E-17    26.279670947695774       -1.9999999999999996      -4.873462891691275E-27
0                         27.32615220273413        -2.6249999999605205      8.582506511652684E-12
0                         27.36967031967132        -3.0703897727895693      1.4525843729423238E-11
0                         27.5993225084622         -3.0929245754678836      1.4373065414789408E-11
-3.469446951953614E-18    25.48297466616138        -2.038574196252196       1.4717647965159093E-12
2.7755575615628914E-17    26.07426355628524        -2.6249999999568807      1.0264191864407585E-11
4.163336342344337E-17     25.444080583489818       -1.9999999999999996      5.956082231283688E-13
-1.3877787807814457E-17   26.461035511478116       -3.008590928980319       1.598531413501268E-11
0                         26.752363134260868       -3.2458156210286324      1.720278598646153E-11
1.3877787807814457E-17    27.463454666088403       -3.2470312348871797      1.6893319879696244E-11
1.3877787807814457E-17    27.567422319600258       -3.2472089680135294      1.666766531547858E-11
1.1102230246251565E-16    31.598435691697297       -4.442663817973884       -6.740594491392205E-12
-2.7755575615628914E-17   31.077461560194617       -3.9201878148500366      1.7103870917178819E-12
1.1102230246251565E-16    30.982504417167274       -3.8249569280250366      3.3414579319598102E-12
-2.7755575615628914E-17   30.900961331369142       -3.917180894598784       5.382375739755764E-12
0                         31.260220575482165       -4.418552076639708       2.57006557013644E-13
-1.3877787807814457E-17   31.246539435614046       -3.5263374132347423      -1.8077047581809782E-12
0                         30.505245771096256       -4.364729061847257       1.1879383813663453E-11
-5.551115123125783E-17    30.035942213576547       -4.367671330843636       2.135003088445367E-11
-5.551115123125783E-17    30.368655807842927       -4.106321290990071       1.4949799461268074E-11
6.938893903907228E-18     28.58561367635035        -3.3669837399908342      1.7325743004085592E-11
5.551115123125783E-17     29.217773807791207       -3.6291086304595614      1.830504427895433E-11
2.7755575615628914E-17    29.318713377685786       -3.8036729430640905      2.0592629163578532E-11
-5.551115123125783E-17    29.222952021782838       -3.806730016146598       1.8280766310637E-11
1.3877787807814457E-17    29.61588686414516        -3.7941860152794176      1.88604316226604E-11
-5.551115123125783E-17    29.38522137831762        -3.918691497489867       1.890471554924715E-11
0                         30.02415865845731        -3.963475715851607       2.2422253559579125E-11
1.1102230246251565E-16    30.93385361223164        -3.732916885308587       6.497493526810725E-12
0                         30.81522072993808        -3.811293058327376       9.118791284161608E-12
-5.551115123125783E-17    30.811150133771665       -3.6820379477547087      8.892008495437844E-12
0                         30.463730439616537       -3.8062794756205456      1.4776459656485086E-11
-1.3877787807814457E-17   29.292325381141115       -2.7587085844039834      9.10962345367702E-12
-2.7755575615628914E-17   29.87607775355979        -3.4424194659607172      2.2915698259952194E-11
-2.7755575615628914E-17   29.811980038931274       -3.614180548861035       2.1485004469180837E-11
1.3877787807814457E-17    30.012639744140348       -3.0764776295861997      1.304299191969921E-11
0                         30.020304064644474       -3.6666580433200946      2.355813405894972E-11
-1.3877787807814457E-17   29.32664118994588        -3.2655428394184645      1.4034650640914407E-11
2.7755575615628914E-17    30.249527447088663       -3.459728901837706       1.4087141906938093E-11
-6.938893903907228E-18    28.363874097109534       -3.3234379801811382      1.5831642898016027E-11
5.551115123125783E-17     28.35361507545599        -4.138382076783988       2.506036929867428E-11
0                         28.982750836628814       -4.211424446016921       2.2369294642610454E-11
-5.551115123125783E-17    28.830718562162573       -4.467570620243446       2.7083388714522674E-11
0                         28.356886418534607       -3.878516973059058       2.2261467190174622E-11
-5.551115123125783E-17    29.378883732114375       -4.422133982092092       2.1387594010870676E-11
-5.551115123125783E-17    28.34896836223531        -4.507502215172236       2.937883274707219E-11
0                         27.530265255675523       -3.39664803123526        1.972478382011252E-11
0                         27.554854747106944       -3.2977534960795145      1.7630430795961825E-11
0                         27.705351671659017       -3.3812714123490046      1.9039762716497702E-11
1.3877787807814457E-17    26.959149973308204       -3.446805103587143       1.740143871784322E-11
0                         26.6716546848593         -3.3728927140345526      1.6424104536665214E-11
-2.7755575615628914E-17   33.06792812558603        -6.061716348303282       -3.38719865860022E-11
4.163336342344337E-17     32.64148409224513        -5.981068191721627       -2.7750549554589854E-11
1.3877787807814457E-17    33.079428074227636       -5.5532111471666985      -4.4489486427651026E-11
8.326672684688674E-17     32.80667274951759        -6.214452069658108       -2.7455044984633557E-11
0                         31.800498025762316       -6.802684260525217       5.111352510365137E-12
1.3877787807814457E-17    32.5137916580065         -5.471358336585819       -2.580171916977026E-11
0                         32.268501854248555       -5.435862637814582       -1.472221043088315E-11
1.3877787807814457E-17    32.11724208639398        -5.753796238211828       -7.49299859059499E-12
0                         31.70263689530058        -6.625256792304014       8.320643358306037E-12
5.551115123125783E-17     33.278494136494444       -7                       -6.3229360895056565E-27
0                         31.64612132267058        -7                       0
4.163336342344337E-17     32.07835926713366        -5.6692293674287075      -4.074357918424017E-12
0                         32.05682232435961        -5.622388323206056       -6.951515219973845E-12
0                         32.011144738252526       -5.7517234316184505      -4.808837563354102E-12
0                         31.566494081228935       -6.9540837646743645      9.5525513343672E-12
6.938893903907228E-18     31.437653075616986       -6.764414540665886       -9.703744380758475E-13
0                         31.1258268811457         -5.44841848451718        8.729650799857805E-12
0                         30.910697736719246       -5.40821852130996        7.074523353837347E-12
1.3877787807814457E-16    31.016619118847085       -5.680822566077964       6.036823712807834E-12
0                         30.851457136758803       -5.561318917511201       3.547220282891011E-12
-1.3877787807814457E-16   30.647894691057537       -5.414030451572916       1.1157058354899053E-11
5.551115123125783E-17     30.804702360129653       -5.682151164803687       7.98639983016704E-12
6.938893903907228E-18     31.557908705369975       -7                       3.6309181833081397E-12
-1.734723475976807E-17    25.411246378630977       -2.057996290842238       1.6967555273779863E-12
0                         25.57806876861465        -2.6249999999565006      1.061261322938254E-11
0                         25.090241092412718       -2.6249999999563056      9.550681413496025E-12
-3.469446951953614E-18    25.747752459010698       -3.201728830234202       1.8763412213984807E-11
-3.469446951953614E-18    25.688051945573974       -3.217894126507559       1.9062062560128704E-11
0                         25.56948083516891        -3.2499999999513256      1.9819799103357083E-11
-2.7755575615628914E-17   24.84951211304782        -3.0502086493281313      1.44685013257031E-11
-2.7755575615628914E-17   24.75724995574192        -3.2499999999513998      1.6814437705832887E-11
2.7755575615628914E-17    24.465144283050588       -2.624999999953932       8.163945163649865E-12
0                         24.248866710681522       -2.6249999999534057      7.878657574237864E-12
2.7755575615628914E-17    24.291235108493943       -2.518212590933825       6.886093733860448E-12
-1.3877787807814457E-17   24.410207057459466       -2.218349796204624       2.852153220550295E-12
1.3877787807814457E-17    24.082589175042067       -2.3900953786292964      4.969483930855209E-12
0                         24.516158224745077       -3.0026097092647346      1.1950315258137977E-11
-5.551115123125783E-17    23.806459664018377       -1.9999999999999996      9.223473158040284E-14
1.3877787807814457E-17    24.38070865343405        -1.9999999999999996      -5.383592567304114E-28
-1.3877787807814457E-17   24.688523421103923       -2.1737671274107804      2.230554925752429E-12
3.469446951953614E-17     25.403411253300124       -1.9999999999999996      -5.969844405700678E-28
-2.7755575615628914E-17   24.533824306693905       -1.9999999999999996      -3.1146818413437333E-28
-3.469446951953614E-18    25.726796669415474       -3.2494435041263054      1.9515866007350733E-11
3.469446951953614E-18     25.755847201131978       -3.2493407395207425      1.947373310138934E-11
-3.469446951953614E-18    25.746187573272017       -3.269702854131881       2.0153908631023933E-11
-3.469446951953614E-18    25.71606295815899        -3.2663439505319043      2.015113758128786E-11
-5.551115123125783E-17    24.633622513390044       -3.249999999950778       1.2589068840215144E-11
-6.938893903907228E-18    31.462852896759728       -7                       5.993575878218566E-27
0                         27.421502918756744       -3.875000000001406       2.81925595440494E-11
-2.7755575615628914E-17   27.886902575951456       -3.8750000000014744      2.5242697718591154E-11
0                         27.116603223128635       -3.8749999999986926      2.544456368811225E-11
0                         27.305007046992955       -4.387365136524395       3.147969099847649E-11
0                         27.43296885223205        -4.399921489883383       3.399369093764269E-11
-1.3877787807814457E-17   27.34642446101376        -4.500000000047746       3.3328246151746295E-11
0                         26.005547996626415       -3.8749999999865294      2.4081387660642807E-11
2.7755575615628914E-17    26.317990266767872       -3.874999999987123       2.0301450775328706E-11
0                         26.042345700406408       -3.9331857350531063      2.1855362211355646E-11
1.3877787807814457E-17    25.884020778652683       -3.966606498866033       2.5300084812911588E-11
1.3877787807814457E-17    26.09832507664868        -4.021702159193488       2.1732800638541973E-11
1.3877787807814457E-17    25.382143483024734       -4.500000000031768       2.6399477345145608E-11
0                         25.176409101774354       -4.500000000030165       3.2455745968688574E-11
2.7755575615628914E-17    26.787853439725673       -4.118908222857168       2.3019821626629628E-11
2.7755575615628914E-17    26.27420187959885        -4.500000000055055       2.4734030026692603E-11
0                         27.17010597280086        -4.5000000000468745      2.6470101292931005E-11
-2.42861286636753E-17     24.923278319583883       -3.858089453295149       2.413787930299123E-11
-6.938893903907228E-18    24.907416790505756       -3.874999999977465       2.015209029023953E-11
-3.8163916471489756E-17   24.89861470555838        -3.8549071654925395      1.9882770144029832E-11
-2.0816681711721685E-17   24.92789545343231        -3.8749999999774056      2.434153914337437E-11
1.0408340855860843E-17    24.961774590418507       -3.9990844962142704      2.538279098431828E-11
-1.3877787807814457E-17   25.28253873636456        -4.619162610101396       3.4046353924131495E-11
0                         25.304602206009967       -3.5765006344151073      2.4283466976917758E-11
0                         25.0624400341622         -3.874999999977568       2.8112895750075655E-11
-1.3877787807814457E-17   27.29765034932689        -4.7683851329800415      3.373453797263209E-11
0                         26.53586877560896        -4.88705471395925        2.561863818331722E-11
-1.3877787807814457E-17   27.33293970543572        -4.574201411248927       3.4484877218141936E-11
-2.7755575615628914E-17   26.832141825265005       -5.32529845893427        2.9058250068102483E-11
0                         26.17836052378231        -5.0273780317234795      2.857441510205795E-11
-5.551115123125783E-17    27.168580023287447       -5.478609377224441       3.300133849542889E-11
0                         25.721056422418272       -3.2871630823702382      2.076301309519098E-11
-2.7755575615628914E-17   30.691039141282083       -5.920747869130366       9.759009230969625E-12
-1.1102230246251565E-16   29.83009897993037        -7                       1.0854599567546849E-26
0                         29.528343719733975       -6.39068799134697        5.444871899058015E-12
-5.551115123125783E-17    30.465994595063854       -5.666449664340371       1.2882425310836692E-11
0                         29.169672428703134       -5.666449664380624       1.5551346404098595E-11
0                         28.146344719244663       -6.9492665900779365      1.4017042006194776E-11
-6.938893903907228E-18    28.191241918637182       -7                       9.717813960778721E-27
0                         29.78422756255379        -4.896059377458903       1.7631376380288116E-11
0                         28.105873703365766       -7                       7.551046102844834E-12
2.7755575615628914E-17    30.67019290833885        -5.6759157003882486      1.1839252069334338E-11
0                         28.104332606568295       -6.960323223840371       1.5338591757176643E-11
-5.551115123125783E-17    28.371795286826288       -5.726379437881706       2.5459112468560804E-11
0                         28.05732210259383        -5.750000000134996       2.2552910230615818E-11
0                         28.460653776603742       -5.24439393334481        2.4386605529737092E-11
0                         29.14627076878915        -5.063955114582537       1.844582493492782E-11
0                         28.041963625953933       -5.354583670575102       2.5352324926320257E-11
2.7755575615628914E-17    27.63449937777377        -5.75000000012501        2.3988477783419907E-11
-5.551115123125783E-17    27.33577752790235        -5.7500000001374705      3.0353969717675E-11
-6.938893903907228E-18    28.01010106985239        -6.844544362518553       4.778198023895858E-12
5.551115123125783E-17     23.32707538770692        -2.3521575395974184      3.917086276514467E-12
2.0816681711721685E-17    23.06246297607632        -1.9999999999999996      3.090867433376839E-13
0                         23.737486057378263       -2.5766604103799615      6.382785699879653E-12
-2.7755575615628914E-17   24.06831773379597        -2.7576319752247582      8.462898697236508E-12
2.7755575615628914E-17    21.802214465041434       -2.385961291934503       8.868928455364589E-13
0                         21.501558015066315       -2                       7.139056028649449E-13
-5.551115123125783E-17    22.19914021508395        -2                       -2.278272518184204E-12
0                         21.781442742832354       -3.02791908100243        6.48935083888948E-12
0                         21.604139449501602       -3.141693107532542       7.407059109635764E-12
0                         21.55716508371015        -3.002553260277153       6.651176305221056E-12
0                         21.795596473076838       -2.5904927916666884      1.925713860771952E-12
0                         21.4297010587809         -2.6249999999485945      4.354578767416882E-12
-5.551115123125783E-17    20.948592032243067       -2.9337236007587815      6.966851324697969E-12
0                         20.939835648447428       -3.204342894151572       8.822844462389638E-12
2.7755575615628914E-17    21.77829281117899        -3.125268888780885       7.459980509951693E-12
0                         20.455712867391075       -3.2499999999466516      7.797072685824328E-12
0                         20.70810226352473        -2.624999999947927       6.402642438073786E-12
0                         21.116102122446666       -2.6249999999516067      5.216827299285042E-12
-1.3877787807814457E-17   21.420633876225672       -2.063743424478155       1.6146442809680444E-12
0                         20.448914148420506       -2.829160813743716       5.963112789304114E-12
0                         21.22309208399066        -2                       0
6.938893903907228E-18     21.43876822745405        -2                       0
-2.7755575615628914E-17   20.675540462583864       -2.5119462040641984      5.1653515626587E-12
0                         20.606928926464427       -2.2737285876956124      2.1151319668742902E-12
0                         20.506995808365694       -2.624999999947777       4.829446168971556E-12
6.938893903907228E-17     20.684801905382884       -2                       0
-2.7755575615628914E-17   20.024037536885437       -2.3721920103273346      1.6633593272063863E-12
-2.7755575615628914E-17   20.12992235081211        -2                       0
1.3877787807814457E-17    20.518643889649105       -2                       0
-1.3877787807814457E-17   20.259091223718322       -2.62499999994651        3.160251308748398E-12
-3.469446951953614E-17    19.677983979179373       -2                       -3.602752917375108E-13
0                         25.021038418871136       -4.500000000028251       3.353388046540267E-11
0                         25.126562196736554       -4.584477171247291       3.8700042117320336E-11
6.938893903907228E-18     22.998791196185973       -1.9999999999999996      -2.4060936897477727E-27
1.3877787807814457E-17    23.018704937787316       -2.0733714206504326      1.4363890081409788E-12
6.938893903907228E-18     22.872321036969733       -1.9999999999999996      -2.90262998794201E-27
-6.938893903907228E-18    22.761705864615934       -2.5042953796862535      7.149582370131006E-12
-6.938893903907228E-18    22.469149729615474       -2.9948397477419886      1.2555860368467282E-11
-6.938893903907228E-18    22.480813709842455       -3.0448834382409085      1.3249971407378416E-11
-6.938893903907228E-18    22.519769634685133       -3.2120217742182335      1.5472877521346678E-11
4.163336342344337E-17     22.307917434211564       -3.3236474163011467      1.5935964753404427E-11
-1.3877787807814457E-17   22.179489998629286       -3.3913162670891754      1.3978747777359602E-11
-8.326672684688674E-17    22.50694212231358        -3.608460807876965       1.8953153153310906E-11
-2.7755575615628914E-17   22.631407461973545       -3.690997970012523       1.588647646158873E-11
-1.3877787807814457E-17   24.401937983514493       -3.3883842963256594      1.3348024218222968E-11
0                         23.90433250656256        -3.7643623590131616      1.7583588928573888E-11
2.7755575615628914E-17    24.020668716670016       -4.028897207657222       2.180269133291769E-11
0                         23.383209121541064       -4.158109955843739       2.1655741364261717E-11
1.0408340855860843E-17    24.837350711861887       -3.8633561665916942      2.0723112909048788E-11
2.7755575615628914E-17    24.189026514331673       -4.411723023328001       2.8136062851016294E-11
2.0816681711721685E-17    24.86903866585699        -3.897923109167682       2.1298234466334523E-11
-2.7755575615628914E-17   23.403351870240172       -4.328362458538464       2.40912403853593E-11
4.163336342344337E-17     23.188106210524502       -4.305524761155613       1.6147564912853198E-11
9.71445146547012E-17      24.887118934595385       -3.87162682915244        2.044575394144901E-11
-6.938893903907228E-18    22.598887194794898       -2.980582334228919       1.2085537014378983E-11
1.3877787807814457E-17    22.732902078874833       -3.495667566567834       1.5351564324252663E-11
2.7755575615628914E-17    23.15905234144455        -2.6755245359323006      7.033457369616814E-12
-1.3877787807814457E-17   22.98081136642262        -3.6312789209174494      1.4706137712167384E-11
-2.7755575615628914E-17   23.582848137137006       -3.7180350544053433      1.6413527056555533E-11
0                         23.67611608278554        -3.5124395606476995      1.445821179185546E-11
0                         23.393862796817984       -3.055586764923551       1.0233732169842973E-11
5.551115123125783E-17     24.665410635781534       -5.1068537487126076      2.723087785725088E-11
4.163336342344337E-17     24.288514759243558       -5.750000000134569       1.600526472201257E-11
0                         24.171953490092044       -5.562793918417821       1.962281136588725E-11
4.163336342344337E-17     23.31134917609305        -4.485358572151519       1.896067581533087E-11
5.551115123125783E-17     24.169364303024576       -5.737358063173701       1.923020470410809E-11
4.163336342344337E-17     24.2375861458787         -5.836906089573491       1.537781070530128E-11
-5.551115123125783E-17    27.15786491262159        -5.987217299739639       2.5850451386689674E-11
-5.551115123125783E-17    26.922056236173912       -5.750000000137523       3.005375683540806E-11
0                         27.956215650114334       -7                       0
0                         26.39827942201957        -7                       0
0                         26.15107713533864        -6.598747704325767       1.4545789026783827E-11
-5.551115123125783E-17    25.786590571825606       -7                       4.80951510691253E-12
0                         25.653651697888854       -6.372076800049635       1.554340301874702E-11
0                         24.83939136413182        -6.191004844704203       9.843476412633182E-12
0                         24.91822208114923        -5.7500000001448734      1.891920970633799E-11
